Occupation,ACEScore,Kmax,ThinkingCreatively
Light Truck or Delivery Services Drivers,0,43,17
Loading Machine Operators Underground Mining,0,45,12
Loan Counselors,12.5,77,57
Loan Interviewers and Clerks,0,52,36
Loan Officers,0,72,31
Locker Room Coatroom and Dressing Room Attendants,0,41,12
Locksmiths and Safe Repairers,0,0,0
Locomotive Engineers,0,48,7
Locomotive Firers,0,0,0
Lodging Managers,0,61,51
Log Graders and Scalers,0,48,21
Logging Equipment Operators,0,50,16
Logisticians,0,63,46
Logistics Analysts,0,0,0
Logistics Engineers,0,0,0
Logistics Managers,0,0,0
Loss Prevention Managers,0,0,0
Low Vision Therapists Orientation and Mobility Specialists and Vision Rehabilitation Therapists,0,0,0
Machine Feeders and Offbearers,0,47,20
Machinists,0,51,34
Magnetic Resonance Imaging Technologists,0,0,0
Maids and Housekeeping Cleaners,0,40,19
Mail Clerks and Mail Machine Operators Except Postal Service,0,16,13
Maintenance and Repair Workers General,0,48,22
Maintenance Workers Machinery,0,82,40
Makeup Artists Theatrical and Performance,37.5,0,0
Management Analysts,0,72,42
Manicurists and Pedicurists,0,51,21
Manufactured Building and Mobile Home Installers,0,65,55
Manufacturing Engineering Technologists,0,0,0
Manufacturing Engineers,0,0,0
Manufacturing Production Technicians,0,0,0
Mapping Technicians,0,66,27
Marine Architects,25,83,65
Marine Engineers,25,75,63
Market Research Analysts and Marketing Specialists,0,0,0
Marketing Managers,0,0,0
Marking Clerks,0,36,16
Marriage and Family Therapists,18.8,96,63
Massage Therapists,0,0,0
Materials Engineers,18.8,0,0
Materials Scientists,12.5,0,0
Mates- Ship Boat and Barge,0,46,22
Mathematical Science Teachers Postsecondary,0,92,51
Mathematicians,18.8,0,0
Meat Poultry and Fish Cutters and Trimmers,0,50,0
Mechanical Door Repairers,0,53,31
Mechanical Drafters,0,82,47
Mechanical Engineering Technicians,0,66,50
Mechanical Engineering Technologists,0,71,58
Mechanical Engineers,0,80,53
Mechatronics Engineers,0,85,64
Medical and Clinical Laboratory Technicians,0,47,31
Medical and Clinical Laboratory Technologists,0,50,25
Medical and Health Services Managers,0,0,0
Medical Appliance Technicians,0,69,47
Medical Assistants,0,60,31
Medical Equipment Preparers,0,71,41
Medical Equipment Repairers,0,64,43
Medical Records and Health Information Technicians,0,53,25
Medical Scientists Except Epidemiologists,0,75,64
Medical Secretaries,0,67,15
Medical Transcriptionists,0,78,6
Meeting Convention and Event Planners,0,76,42
Mental Health and Substance Abuse Social Workers,0,90,48
Mental Health Counselors,0,93,56
Merchandise Displayers and Window Trimmers,43.8,38,49
Metal-Refining Furnace Operators and Tenders,0,44,16
Meter Readers Utilities,0,30,25
Microbiologists,18.8,0,0
Middle School Teachers Except Special and Career/Technical Education,18.8,71,55
Midwives,0,80,41
Milling and Planing Machine Setters Operators and Tenders Metal and Plastic,0,56,33
Millwrights,0,0,0
Mine Cutting and Channeling Machine Operators,0,41,21
Mine Shuttle Car Operators,0,31,28
Mining and Geological Engineers Including Mining Safety Engineers,0,76,49
Mixing and Blending Machine Setters Operators and Tenders,0,47,17
Mobile Heavy Equipment Mechanics Except Engines,0,90,26
Model Makers Metal and Plastic,12.5,60,40
Model Makers Wood,25,63,62
Models,12.5,9,19
Molding and Casting Workers,0,32,17
Molding Coremaking and Casting Machine Setters Operators and Tenders Metal and Plastic,0,32,18
Molecular and Cellular Biologists,0,0,0
Morticians Undertakers and Funeral Directors,0,89,39
Motion Picture Projectionists,18.8,33,12
Motorboat Mechanics and Service Technicians,0,75,30
Motorboat Operators,0,55,20
Motorcycle Mechanics,0,88,28
Multimedia Artists and Animators,100,69,79
Multiple Machine Tool Setters Operators and Tenders Metal and Plastic,0,52,19
Municipal Clerks,0,86,24
Municipal Fire Fighting and Prevention Supervisors,0,66,43
Municipal Firefighters,0,61,38
Museum Technicians and Conservators,75,59,57
Music Composers and Arrangers,100,77,89
Music Directors,100,78,71
Music Therapists,0,0,0
Musical Instrument Repairers and Tuners,25,0,0
Musicians Instrumental,93.8,82,71
Nannies,0,0,0
Natural Sciences Managers,0,51,53
Naturopathic Physicians,0,0,0
Network and Computer Systems Administrators,12.5,73,63
Neurodiagnostic Technologists,0,0,0
Neurologists,0,89,56
Neuropsychologists and Clinical Neuropsychologists,0,0,0
New Accounts Clerks,0,65,26
Non-Destructive Testing Specialists,0,0,0
Nonfarm Animal Caretakers,0,37,23
Nuclear Engineers,12.5,0,0
Nuclear Equipment Operation Technicians,0,46,27
Nuclear Medicine Physicians,0,0,0
Nuclear Medicine Technologists,0,74,25
